wallet,type,amount,usd_value,from,to,timestamp,date,signature,token_address,token_symbol
u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,TOKEN,7869620.081,7869620.081,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,GCvHhEUYQwTJ8jyf8Lc4bv8jBXyZU4LMMsZCobwEPzvM,2025-08-06 03:57:11,2025-08-06,5uE72zpHD7o8G1Df2MGZ5CF2io88y4SyoHk8CCWDZuddnFiZm2NAzUdU6AzuzPE5g5sJQNauw67V9zqyvS2fp2u2,4QQV4LQUUXAn1eN1XQGrfY65TfLe5STJcfsCQozqyb8T,TOKEN-4QQV4LQU...
DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,TOKEN,6184200.0,6184200.0,DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,2025-08-01 14:29:42,2025-08-01,2txUxe58nMeSqzrXbUJMXBQMmYbR6aTrJP1tmm1ejusGsLtoW326gX86vxGC7jsLFkpnNXfQ4fqithyHdPH3b1AA,A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump,TOKEN-A8C3xuqs...
HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,TOKEN,5000000.0,5000000.0,HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,2025-07-24 16:57:59,2025-07-24,NcEV9EkZX58op6JgyQe2nPhDUPXdwXLqYG3Cnp3m1LZMhVQwcmoGkverontFGBsiwexajKg56MUstqRbGpXUfR5,DBRiDgJAMsM95moTzJs7M9LnkGErpbv9v6CUR1DXnUu5,TOKEN-DBRiDgJA...
DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,TOKEN,5000000.0,5000000.0,DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,2025-08-05 15:43:54,2025-08-05,SRwPLcZn5odJuNDKfi8ztabEM83z3EFFVqtsSuXyXWkDs35mjXb7g263Y2Sf2ccD9izLjoRHBep2wqSVyTsSdtT,DitHyRMQiSDhn5cnKMJV2CDDt6sVct96YrECiM49pump,TOKEN-DitHyRMQ...
u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,TOKEN,4197891.23,4197891.23,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,FqA8BH3RfQX7Zidw4AoigVYfuWhmjvSd6jZFAVwQNAKg,2025-08-06 03:49:12,2025-08-06,RXkcys1RaooDzB8jSRgVcvFvrupYHPjHrXQ2r2FKvm27MPSGaBQnEzWhFmUiGT7PBsRwrMXU52AjmVBqUgEbBLL,5MAYDfq5yxtudAhtfyuMBuHZjgAbaS9tbEyEQYAhDS5y,TOKEN-5MAYDfq5...
HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,TOKEN,3378250.0,3378250.0,5D4aidAeZhx2g7UK5TLBu3XJM33PeLCSPP7qnbfFs3fC,5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,2025-07-31 14:24:27,2025-07-31,4LdJfGpffhW568XSENSjgTUYcdFmDkQMXSQCvrqDERPc7iSwrAfqABH5TS9iK4ADSrWs96LDfiWKXAijs8abXn3D,HpzUntkU5Ek9ZNB6UtgXfYicgqyroJJoxtJdTFmJTjfC,TOKEN-HpzUntkU...
HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,TOKEN,3266660.0,3266660.0,5D4aidAeZhx2g7UK5TLBu3XJM33PeLCSPP7qnbfFs3fC,A77HErqtfN1hLLpvZ9pCtu66FEtM8BveoaKbbMoZ4RiR,2025-07-31 14:24:27,2025-07-31,4LdJfGpffhW568XSENSjgTUYcdFmDkQMXSQCvrqDERPc7iSwrAfqABH5TS9iK4ADSrWs96LDfiWKXAijs8abXn3D,HpzUntkU5Ek9ZNB6UtgXfYicgqyroJJoxtJdTFmJTjfC,TOKEN-HpzUntkU...
u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,TOKEN,3247206.469,3247206.469,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,4yqgcP2EvCyyE14Zd9H2jPFMK59q67YUz7bBnUcKcfVE,2025-08-06 03:36:36,2025-08-06,4eoXgdx7WsFd3iCL6yqnL34svj9HiZ5XV54qCEYXzWiuEfDhJXVRjk3kKKhzhGwQ7Pf5z3yiZfM6xZ4sVeLFExUf,ZBCNpuD7YMXzTHB2fhGkGi78MNsHGLRXUhRewNRm9RU,TOKEN-ZBCNpuD7...
DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,TOKEN,3201000.0,3201000.0,DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,2025-08-04 16:56:13,2025-08-04,61Lp6HhUc2EZJWVNo8bkGTNBJSLiM7Rj4BvW33XGsuq64sSZAHjjERjBaSHFzhaJ15KHeaerJQvJjtpLBGbbkDVh,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC
DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,TOKEN,3073100.0,3073100.0,DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,2025-08-01 14:29:53,2025-08-01,T5pa2fB1Lkgoq1S62yor4dS3Qy29HCNN8nwZU3wYH4fd6UZ5dinGchnRS3wT35mmrAqQxWB4BCjNHfJYumaS6BS,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT
