date,price
2025-06-01,154.62361113529198
2025-06-02,154.93816472804542
2025-06-03,159.8049849355441
2025-06-04,156.17117280178806
2025-06-05,150.98727419915738
2025-06-06,148.426896487148
2025-06-07,150.71778407429244
2025-06-08,150.96216161502662
2025-06-09,154.03316635271707
2025-06-10,160.14918680914082
2025-06-11,164.84043709876752
2025-06-12,158.30504491331422
2025-06-13,145.70742214700155
2025-06-14,145.54772343680864
2025-06-15,148.1101686375097
2025-06-16,156.19412338405172
2025-06-17,150.23739853101233
2025-06-18,146.80977479623297
2025-06-19,145.41355761524142
2025-06-20,144.51502943686978
2025-06-21,139.7517201903947
2025-06-22,132.62677226793653
2025-06-23,135.38305691247285
2025-06-24,144.41869514041403
2025-06-25,145.33970360568813
2025-06-26,143.48202615250773
2025-06-27,141.5332790177218
2025-06-28,146.76242395882693
2025-06-29,150.93720445479764
2025-06-30,153.0394564030673
2025-07-01,149.68628590236125
2025-07-02,149.99944814072487
2025-07-03,153.371492187904
2025-07-04,149.62813806472977
2025-07-05,147.61162745350853
2025-07-06,149.34017960246382
2025-07-07,151.16902432952
2025-07-08,150.32399052308946
2025-07-09,153.613184839451
2025-07-10,158.4590253122288
2025-07-11,164.08660364810996
2025-07-12,161.52197079309994
2025-07-13,161.99160827678716
2025-07-14,165.2415042228148
2025-07-15,160.61928016781812
2025-07-16,167.5616286452092
2025-07-17,173.94687196366147
2025-07-18,179.27902771133338
2025-07-19,176.92880346378467
2025-07-20,179.9566471276121
2025-07-21,190.51402468084913
2025-07-22,199.86855873503075
2025-07-23,195.87919364145202
2025-07-24,187.03360667203322
2025-07-25,180.57684411918603
2025-07-26,186.6849913830716
2025-07-27,187.03287294176562
2025-07-28,189.49969418333933
2025-07-29,182.67917258074542
2025-07-30,179.06133146398952
2025-07-31,178.72843803002095
2025-08-01,167.91989589836024
2025-08-02,162.34924136784588
2025-08-03,161.11196989920077
2025-08-04,164.6011155557351
2025-08-05,166.5521717501111
