date,price,usd_value
2025-07-24,187.03360667203322,5000000.0
2025-07-25,180.57684411918603,766764646.0
2025-07-29,182.67917258074542,43222222.0
2025-07-31,178.72843803002095,3378250.0
2025-07-31,178.72843803002095,3266660.0
2025-07-31,178.72843803002095,2979023.0
2025-07-31,178.72843803002095,2814999.0
2025-07-31,178.72843803002095,2700624.0
2025-07-31,178.72843803002095,2311074.0
2025-07-31,178.72843803002095,2114028.0
2025-07-31,178.72843803002095,2078780.0
2025-07-31,178.72843803002095,2033149.0
2025-08-01,167.91989589836024,6184200.0
2025-08-01,167.91989589836024,3073100.0
2025-08-01,167.91989589836024,2770900.0
2025-08-01,167.91989589836024,2000000.0
2025-08-01,167.91989589836024,2000000.0
2025-08-01,167.91989589836024,2000000.0
2025-08-01,167.91989589836024,500000.0
2025-08-01,167.91989589836024,426100.0
2025-08-02,162.34924136784588,2000000.0
2025-08-02,162.34924136784588,1036700.0
2025-08-02,162.34924136784588,1000000.0
2025-08-02,162.34924136784588,1000000.0
2025-08-02,162.34924136784588,200000.0
2025-08-03,161.11196989920077,10000000.0
2025-08-03,161.11196989920077,500000.0
2025-08-04,164.6011155557351,4000000000.0
2025-08-04,164.6011155557351,29130100.0
2025-08-04,164.6011155557351,3201000.0
2025-08-04,164.6011155557351,2080862.0
2025-08-04,164.6011155557351,2067169.0
2025-08-04,164.6011155557351,1874476.0
2025-08-04,164.6011155557351,1854830.0
2025-08-04,164.6011155557351,1851251.0
2025-08-04,164.6011155557351,1590407.0
2025-08-04,164.6011155557351,904466.0
2025-08-04,164.6011155557351,885702.0
2025-08-04,164.6011155557351,469835.0
2025-08-04,164.6011155557351,379059.0
2025-08-05,166.5521717501111,15000000.0
2025-08-05,166.5521717501111,10080000.0
2025-08-05,166.5521717501111,10000000.0
2025-08-05,166.5521717501111,5000000.0
2025-08-05,166.5521717501111,3000000.0
2025-08-05,166.5521717501111,1500000.0
2025-08-05,166.5521717501111,1000000.0
